Datum;Erzeugung Fems;Erzeugung Garage;Erzeugung Spielvilla;Verbrauch;Netzeinspeisung;Netzbezug
2025-10-10 15:12:02;11;0.0018500000000001293;0.0021599999999999397;19;1;0
2025-10-10 15:15:10;12;0.0022600000000001508;0.002610000000000001;23;1;1
2025-10-10 15:18:18;9;0.0020199999999999108;0.0021700000000000053;37;0;4
2025-10-10 15:21:25;8;0.0016499999999999293;0.0017899999999999583;137;6;3
2025-10-10 15:24:29;5;0.0012000000000000899;0.0012100000000000444;27;1;0
2025-10-10 15:27:32;5;0.0010900000000000354;0.0011099999999999444;21;0;1
2025-10-10 15:30:39;6;0.0013599999999998058;0.0015800000000000258;20;1;0
2025-10-10 15:33:50;8;0.0018800000000001038;0.0020000000000000018;26;1;1
2025-10-10 15:36:54;12;0.0024199999999998667;0.0028399999999999537;17;1;0
2025-10-10 15:40:01;10;0.0025800000000000267;0.0027000000000000357;21;0;2
2025-10-10 15:43:06;6;0.0015200000000001879;0.0014699999999999713;29;1;0
2025-10-10 15:46:13;6;0.0012699999999998823;0.0013900000000000023;26;1;1
2025-10-10 15:57:31;11;0.0032200000000000006;0.003230000000000066;100;2;2
2025-10-10 16:00:33;2;0.0005300000000001415;0.00032999999999994145;30;1;0
2025-10-10 16:03:33;3;0.0008099999999999774;0.0008400000000000629;33;1;0
2025-10-10 16:06:36;3;0.0008900000000000574;0.0009199999999999209;28;1;1
